"day","confirmed","tests","deaths","downloaded"
2020-03-20,6,137,1,2022-08-10 06:45:40
2020-03-21,29,473,1,2022-08-10 06:45:40
2020-03-22,57,749,1,2022-08-10 06:45:40
2020-03-23,87,978,2,2022-08-10 06:45:40
2020-03-24,111,1381,3,2022-08-10 06:45:40
2020-03-25,166,2090,4,2022-08-10 06:45:40
2020-03-26,182,2582,6,2022-08-10 06:45:40
2020-03-27,226,3723,6,2022-08-10 06:45:40
2020-03-28,262,4738,7,2022-08-10 06:45:40
2020-03-29,279,5741,7,2022-08-10 06:45:40
2020-03-30,352,7322,7,2022-08-10 06:45:40
2020-03-31,396,8559,10,2022-08-10 06:45:40
2020-04-01,469,11082,10,2022-08-10 06:45:40
2020-04-02,527,13463,10,2022-08-10 06:45:40
2020-04-03,570,15588,12,2022-08-10 06:45:40
2020-04-04,616,17997,14,2022-08-10 06:45:40
2020-04-05,647,20313,17,2022-08-10 06:45:40
2020-04-06,687,21888,23,2022-08-10 06:45:40
2020-04-07,720,24114,23,2022-08-10 06:45:40
2020-04-08,770,26162,24,2022-08-10 06:45:40
2020-04-09,808,29365,26,2022-08-10 06:45:40
2020-04-10,847,32350,27,2022-08-10 06:45:40
2020-04-11,880,35131,28,2022-08-10 06:45:40
2020-04-12,899,35984,30,2022-08-10 06:45:40
2020-04-13,905,36652,31,2022-08-10 06:45:40
2020-04-14,923,38095,35,2022-08-10 06:45:40
2020-04-15,950,41165,35,2022-08-10 06:45:40
2020-04-16,976,45344,37,2022-08-10 06:45:40
2020-04-17,1025,50448,38,2022-08-10 06:45:40
2020-04-18,1118,56023,39,2022-08-10 06:45:40
2020-04-19,1139,59093,42,2022-08-10 06:45:40
2020-04-20,1165,62100,43,2022-08-10 06:45:40
2020-04-21,1187,67517,44,2022-08-10 06:45:40
2020-04-22,1205,74095,44,2022-08-10 06:45:40
2020-04-23,1221,81178,45,2022-08-10 06:45:40
2020-04-24,1234,88641,46,2022-08-10 06:45:40
2020-04-25,1245,95666,48,2022-08-10 06:45:40
2020-04-26,1260,99300,49,2022-08-10 06:45:40
2020-04-27,1262,101985,51,2022-08-10 06:45:40
2020-04-28,1291,107699,53,2022-08-10 06:45:40
2020-04-29,1310,114188,54,2022-08-10 06:45:40
2020-04-30,1316,122181,55,2022-08-10 06:45:40
2020-05-01,1320,128885,56,2022-08-10 06:45:40
2020-05-02,1327,132295,57,2022-08-10 06:45:40
2020-05-03,1334,134796,57,2022-08-10 06:45:40
2020-05-04,1338,138465,57,2022-08-10 06:45:40
2020-05-05,1345,144809,59,2022-08-10 06:45:40
2020-05-06,1349,151722,60,2022-08-10 06:45:40
2020-05-07,1360,160040,61,2022-08-10 06:45:40
2020-05-08,1385,167755,63,2022-08-10 06:45:40
2020-05-09,1399,173920,65,2022-08-10 06:45:40
2020-05-10,1408,176453,65,2022-08-10 06:45:40
2020-05-11,1417,180250,68,2022-08-10 06:45:40
2020-05-12,1430,186937,69,2022-08-10 06:45:40
2020-05-13,1439,194527,69,2022-08-10 06:45:40
2020-05-14,1451,202364,74,2022-08-10 06:45:40
2020-05-15,1465,210504,76,2022-08-10 06:45:40
2020-05-16,1475,216736,78,2022-08-10 06:45:40
2020-05-17,1481,219463,80,2022-08-10 06:45:40
2020-05-18,1493,223689,80,2022-08-10 06:45:40
2020-05-19,1509,231608,81,2022-08-10 06:45:40
2020-05-20,1524,238850,81,2022-08-10 06:45:40
2020-05-21,1536,245311,82,2022-08-10 06:45:40
2020-05-22,1547,250364,84,2022-08-10 06:45:40
2020-05-23,1557,254520,85,2022-08-10 06:45:40
2020-05-24,1563,256619,86,2022-08-10 06:45:40
2020-05-25,1570,260398,88,2022-08-10 06:45:40
2020-05-26,1575,265536,90,2022-08-10 06:45:40
2020-05-27,1585,272059,92,2022-08-10 06:45:40
2020-05-28,1592,278557,92,2022-08-10 06:45:40
2020-05-29,1601,283945,94,2022-08-10 06:45:40
2020-05-30,1605,288788,94,2022-08-10 06:45:40
2020-05-31,1611,290945,95,2022-08-10 06:45:40
2020-06-01,1614,294314,95,2022-08-10 06:45:40
2020-06-02,1617,300366,95,2022-08-10 06:45:40
2020-06-03,1622,306328,95,2022-08-10 06:45:40
2020-06-04,1630,311229,95,2022-08-10 06:45:40
2020-06-05,1643,315995,96,2022-08-10 06:45:40
2020-06-06,1649,318934,97,2022-08-10 06:45:40
2020-06-07,1655,321136,99,2022-08-10 06:45:40
2020-06-08,1660,324452,100,2022-08-10 06:45:40
2020-06-09,1678,329450,100,2022-08-10 06:45:40
2020-06-10,1686,334733,100,2022-08-10 06:45:40
2020-06-11,1691,339563,101,2022-08-10 06:45:40
2020-06-12,1693,343953,101,2022-08-10 06:45:40
2020-06-13,1701,347360,102,2022-08-10 06:45:40
2020-06-14,1705,349169,103,2022-08-10 06:45:40
2020-06-15,1706,352179,103,2022-08-10 06:45:40
2020-06-16,1711,357919,103,2022-08-10 06:45:40
2020-06-17,1719,363325,103,2022-08-10 06:45:40
2020-06-18,1721,368417,103,2022-08-10 06:45:40
2020-06-19,1727,372610,104,2022-08-10 06:45:40
2020-06-20,1730,375553,104,2022-08-10 06:45:40
2020-06-21,1731,377283,104,2022-08-10 06:45:40
2020-06-22,1733,380292,106,2022-08-10 06:45:40
2020-06-23,1734,384585,106,2022-08-10 06:45:40
2020-06-24,1735,388765,106,2022-08-10 06:45:40
2020-06-25,1738,391797,106,2022-08-10 06:45:40
2020-06-26,1745,396175,106,2022-08-10 06:45:40
2020-06-27,1745,398765,106,2022-08-10 06:45:40
2020-06-28,1745,400429,106,2022-08-10 06:45:40
2020-06-29,1747,403890,106,2022-08-10 06:45:40
2020-06-30,1752,408853,106,2022-08-10 06:45:40
2020-07-01,1756,413605,108,2022-08-10 06:45:40
2020-07-02,1760,417510,108,2022-08-10 06:45:40
2020-07-03,1766,421176,108,2022-08-10 06:45:40
2020-07-04,1771,423447,108,2022-08-10 06:45:40
